Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
The Gay Divorcee,['RKO Radio'],False,1934,N/A,USA,Mark Sandrich,"Comedy, Musical, Romance","Mimi Glossop wants a divorce so her Aunt Hortense hires a professional to play the correspondent in apparent infidelity. American dancer Guy Holden meets Mimi while visiting Brightbourne (Brighton) and she thinks he is the correspondent. The plot is really an excuse for song and dance. The movie won three Academy nominations and the first Oscar for Best Song: ""The Continental"", a twenty-two minute production number.",RKO Radio Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",107 min,1934,7.6,"6,142",False,False,False,False,False,none
Here Comes the Navy,['Warner Bros.'],False,1934,N/A,USA,Lloyd Bacon,"Comedy, Drama, Romance","To continue a grudge with naval officer Biff Martin, feisty construction worker Chesty O'Connor joins the navy and manages to get stationed on the same ship as Martin. Further complications arise when O'Connor starts dating Martin's sister, whom he meets while on shore leave.",Warner Bros.,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",87 min,1934,6.4,625,False,False,False,False,False,none
The House of Rothschild,['20th Century'],False,1934,N/A,USA,"Alfred L. Werker, Sidney Lanfield","Biography, Drama, History",The wealthy Rothschild family undergoes prejudice from the anti-Semitic society they live within.,20th Century Fox Film Corporation,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",88 min,1934,6.8,827,False,False,False,False,False,none
Imitation of Life,['Universal'],False,1934,N/A,USA,Douglas Sirk,Drama,"Aspiring actress Lora Meredith meets Annie Johnson, a homeless black woman at Coney Island and soon they share a tiny apartment. Each woman has an intolerable daughter, though, Annie's little girl Sarah Jane, is by far the worse. Neurotic and obnoxious, Sarah Jane doesn't like being black; since she's light-skinned (her father was practically white), she spends the rest of the film passing as white, much to her mother's heartache and shame. Lora, meanwhile, virtually ignores her own daughter in a single-minded quest for stardom.",Universal Studios,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}]",125 min,1959,7.9,"13,126",False,False,False,False,False,"motherhood, race"
One Night of Love,['Columbia'],False,1934,N/A,USA,Victor Schertzinger,"Music, Romance","Mary Barrett is an aspiring Opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi. After spending endless working hours together and arguing, their relationship develops into love. But, jealousy and misunderstandings prevent Mary and Guilio from acknowledging their true feelings.",Sony Pictures Home Entertainment,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",84 min,1934,5.9,419,False,False,False,False,False,none
The Thin Man,['Metro-Goldwyn-Mayer'],False,1934,N/A,USA,W.S. Van Dyke,"Comedy, Crime, Mystery","After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her father's mistress (his former secretary ).. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.",MGM,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",91 min,1934,8.1,"23,834",False,False,False,False,False,none
Viva Villa!,['Metro-Goldwyn-Mayer'],False,1934,N/A,USA,"Jack Conway, Howard Hawks, William A. Wellman","Biography, Western","In this fictionalized biography, young Pancho Villa takes to the hills after killing an overseer in revenge for his father's death. In 1910, he befriends American reporter Johnny Sykes. Then a meeting with visionary Francisco Madero transforms Villa from an avenging bandit to a revolutionary general. To the tune of 'La Cucaracha,' his armies sweep Mexico. After victory, Villa's bandit-like disregard for human life forces Madero to exile him. But Madero's fall brings Villa back to raise the people against a new tyrant...",MGM,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",115 min,1934,6.5,943,False,False,False,False,False,none
The White Parade,['Jesse L. Lasky (production company)'],False,1934,N/A,USA,Irving Cummings,Drama,"The title represents the hopeful, ambitious students at a hospital training school and is primarily a story of the stern discipline and laborious physical and mental toil they endure in order to become nurses and join the White Parade. It is told mainly through the character of June Arden who finds romance with Ronald Hall III on the way, with side stories of the other girls who find failure, success, laughs and tears on the way. The forerunner of umpteen dozens of TV series over the past forty years.",N/A,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",80 min,1934,7.0,42,False,False,False,False,False,none
Mutiny on the Bounty,['Metro-Goldwyn-Mayer'],True,1935,N/A,USA,Frank Lloyd,"Adventure, Biography, Drama, History, Romance","Midshipman Roger Byam joins Captain Bligh and Fletcher Christian aboard HMS Bounty for a voyage to Tahiti. Bligh proves to be a brutal tyrant and, after six pleasant months on Tahiti, Christian leads the crew to mutiny on the homeward voyage. Even though Byam takes no part in the mutiny, he must defend himself against charges that he supported Christian.",MGM,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",132 min,1935,7.8,"18,688",False,False,False,False,False,"ships, Not available from Netflix"
Alice Adams,['RKO Radio'],False,1935,N/A,USA,George Stevens,"Comedy, Drama, Romance","In the small town of South Renford, Alice Adams comes from a working class background, although she aspires to be among the upper class. Alice's mother blames her husband for their low social standing, despite his working hard and Alice not blaming him for anything. Regardless, Alice tries to do whatever necessary to put on appearances of wealth and social standing, despite everyone in that class in town knowing who she is, and thus largely ignoring her because of her false airs. First meeting at a society ball, Alice surprisingly catches the eye of Arthur Russell, surprisingly as he purportedly is engaged to débutante Mildred Palmer. As Alice continues to hide her true social standing from Arthur as he courts her, Mrs. Adams pressures Mr. Adams into doing something he doesn't want to do in an effort truly to become part of the business class, that measure which entails sinking all his money into a business venture. Beyond the time when Arthur finds out the true nature behind Alice's facade, other issues may bring the fragile Adams society house of cards tumbling down around them, and thus the happiness Alice is seeking with Arthur.",Turner Home Entertainment,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",99 min,1935,7.0,"3,005",False,False,False,False,False,class
Broadway Melody of 1936,['Metro-Goldwyn-Mayer'],False,1935,N/A,USA,"Roy Del Ruth, W.S. Van Dyke","Musical, Romance","Bob Gordon is staging a new Broadway Show, but he is short of money. He gets an offer of money by the young widow Lilian, if she can dance in his new show. Bert Keeler, a paper man, gets this information and is writing about this in his column in an slight unfriendly way. Gordon's old class mate Irene Forster, a tap dancer from Albany also tries to get the leading role in this show, but Lilian insists in getting this part herself. So Irene Forster, Bert Keeler and Gordon's secretary Kitty start a little game to get Irene the leading role.",MGM,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",101 min,1935,6.8,"1,279",False,False,False,False,False,none
Captain Blood,['Cosmopolitan'],False,1935,N/A,USA,Michael Curtiz,"Action, Adventure","Arrested during the Monmouth Rebellion and falsely convicted of treason, Dr. Peter Blood is banished to the West Indies and sold into slavery. In Port Royal, Jamaica the Governor's daughter Arabella Bishop buys him for £10 to spite her uncle, Col. Bishop who owns a major plantation. Life is hard for the men and for Blood as well. By chance he treats the Governor's gout and is soon part of the medical service. He dreams of freedom and when the opportunity strikes, he and his friends rebel taking over a Spanish ship that has attacked the city. Soon, they are the most feared pirates on the seas, men without a country attacking all ships. When Arabella is prisoner, Blood decides to return her to Port Royal only to find that it is under the control of England's new enemy, France. All of them must decide if they are to fight for their new King.",Twentieth Century Fox Home Entertainment,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",119 min,1935,7.8,"11,512",False,False,False,False,False,swashbuckler
David Copperfield,['Metro-Goldwyn-Mayer'],False,1935,,"UK, USA",N/A,Drama,"David Copperfield lives a nearly idyllic existence with his beautiful mother Clara and their housekeeper Peggotty. His life changes forever when his mother re-marries. Mr. Murdstone is a no-nonsense businessman and a strict disciplinarian who believes in corporal punishment. David is soon sent to a strict boarding school but when his mother dies, his stepfather sends him to London to work in a foul smelling factory. He forms a close friendship with Mr. Micawber and moves in with the man and his loving family but as the Micawbers are forced by circumstance to relocate, he seeks out his aunt Betsey Trotwood. She sends him to fine school and he lodges with Mr. Wickfield and his daughter Agnes. As he grows older David is apprenticed to a law firm where he soon meets the senior partner's daughter, Dora. Life's challenges continue to confront him but with the help of friends and family, he overcomes adversity including his aunt's loss of her savings, the death of his wife and the satisfaction of seeing the conniving Uriah Heep sent to a penal colony.",,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",185 min,1999–,7.8,"3,747",False,False,False,False,False,none
